domain,status,premium,reg_price,renew_price
gold.pics,UNAVAILABLE,0,1.54,26.26
gold.quest,AVAILABLE,1,2183.84,2183.84
gold.mom,AVAILABLE,1,2183.84,2183.84
gold.beauty,AVAILABLE,1,2183.84,2183.84
gold.beer,UNAVAILABLE,0,1.54,26.26
gold.best,UNAVAILABLE,1,76.94,76.94
gold.click,UNAVAILABLE,0,1.54,10.81
gold.garden,AVAILABLE,1,218.86,27.82
gold.hair,AVAILABLE,1,2183.84,2183.84
gold.monster,AVAILABLE,1,546.35,13.74
gold.rest,AVAILABLE,1,688.27,983.02
gold.skin,AVAILABLE,1,2183.84,2183.84
gold.surf,AVAILABLE,1,218.86,27.82
  💰 PREMIUM: wave.quest reg=$710.10
  💰 PREMIUM: wave.mom reg=$710.10
  💰 PREMIUM: wave.beauty reg=$2183.84
  💰 PREMIUM: wave.best reg=$76.94
  💰 PREMIUM: wave.click reg=$191.57
  💰 PREMIUM: wave.hair reg=$2183.84
  💰 PREMIUM: wave.skin reg=$2183.84
wave.lol,UNAVAILABLE,0,1.54,26.26
wave.space,UNAVAILABLE,1,68.75,273.44
wave.pics,UNAVAILABLE,0,1.54,26.26
wave.quest,AVAILABLE,1,710.10,13.74
wave.mom,AVAILABLE,1,710.10,710.10
wave.beauty,AVAILABLE,1,2183.84,2183.84
wave.beer,UNAVAILABLE,0,1.54,26.26
wave.best,AVAILABLE,1,76.94,76.94
wave.click,AVAILABLE,1,191.57,273.44
wave.garden,UNAVAILABLE,0,1.54,26.26
wave.hair,AVAILABLE,1,2183.84,2183.84
wave.monster,UNAVAILABLE,0,1.54,12.98
wave.rest,UNAVAILABLE,0,1.54,26.26
wave.skin,AVAILABLE,1,2183.84,2183.84
wave.surf,UNAVAILABLE,1,218.86,27.82
  💰 PREMIUM: curl.space reg=$136.98
  ✓ CHEAP: curl.pics reg=$1.54 renew=$26.26
  ✓ CHEAP: curl.quest reg=$1.54 renew=$12.98
  ✓ CHEAP: curl.mom reg=$1.54 renew=$26.26
  ✓ CHEAP: curl.beauty reg=$1.54 renew=$12.98
  💰 PREMIUM: curl.beer reg=$44.19
  ✓ CHEAP: curl.best reg=$1.72 renew=$15.96
  💰 PREMIUM: curl.click reg=$76.94
  ✓ CHEAP: curl.garden reg=$1.54 renew=$26.26
  ✓ CHEAP: curl.skin reg=$1.54 renew=$12.98
  💰 PREMIUM: curl.surf reg=$218.86
curl.lol,UNAVAILABLE,0,1.54,26.26
curl.space,AVAILABLE,1,136.98,546.35
curl.pics,AVAILABLE,0,1.54,26.26
curl.quest,AVAILABLE,0,1.54,12.98
curl.mom,AVAILABLE,0,1.54,26.26
curl.beauty,AVAILABLE,0,1.54,12.98
curl.beer,AVAILABLE,1,44.19,27.82
curl.best,AVAILABLE,0,1.72,15.96
curl.click,AVAILABLE,1,76.94,109.69
curl.garden,AVAILABLE,0,1.54,26.26
curl.hair,UNAVAILABLE,0,1.54,12.98
curl.monster,UNAVAILABLE,0,1.54,12.98
curl.rest,UNAVAILABLE,0,1.54,26.26
curl.skin,AVAILABLE,0,1.54,12.98
curl.surf,AVAILABLE,1,218.86,27.82
  💰 PREMIUM: jade.space reg=$1365.10
  ✓ CHEAP: jade.mom reg=$1.54 renew=$26.26
  ✓ CHEAP: jade.best reg=$1.72 renew=$15.96
  💰 PREMIUM: jade.click reg=$764.69
  💰 PREMIUM: jade.garden reg=$873.85
  ✓ CHEAP: jade.hair reg=$1.54 renew=$12.98
  💰 PREMIUM: jade.rest reg=$138.07
