domain,status,premium,reg_price,renew_price
ash.garden,AVAILABLE,1,437.19,27.82
ash.hair,AVAILABLE,0,1.54,12.98
ash.monster,UNAVAILABLE,0,1.54,12.98
ash.rest,UNAVAILABLE,0,1.54,26.26
ash.skin,UNAVAILABLE,0,1.54,12.98
ash.surf,AVAILABLE,1,437.19,27.82
ashen.lol,UNAVAILABLE,0,1.54,26.26
ashen.space,AVAILABLE,1,68.75,273.44
ashen.pics,AVAILABLE,0,1.54,26.26
ashen.quest,UNAVAILABLE,0,1.54,12.98
ashen.mom,AVAILABLE,0,1.54,26.26
ashen.beauty,UNAVAILABLE,0,1.54,12.98
ashen.beer,AVAILABLE,0,1.54,26.26
ashen.best,AVAILABLE,0,1.72,15.96
ashen.click,AVAILABLE,1,76.94,109.69
ashen.garden,AVAILABLE,0,1.54,26.26
ashen.hair,AVAILABLE,0,1.54,12.98
ashen.monster,AVAILABLE,0,1.54,12.98
ashen.rest,AVAILABLE,0,1.54,26.26
ashen.skin,AVAILABLE,0,1.54,12.98
ashen.surf,AVAILABLE,0,1.54,26.26
asp.lol,UNAVAILABLE,0,1.54,26.26
asp.space,AVAILABLE,1,273.44,1092.18
asp.pics,AVAILABLE,0,1.54,26.26
asp.quest,AVAILABLE,0,1.54,12.98
asp.mom,AVAILABLE,0,1.54,26.26
asp.beauty,AVAILABLE,0,1.54,12.98
asp.beer,UNAVAILABLE,0,1.54,26.26
asp.best,AVAILABLE,0,1.72,15.96
asp.click,AVAILABLE,1,382.61,546.35
asp.garden,AVAILABLE,1,44.19,27.82
asp.hair,UNAVAILABLE,0,1.54,12.98
asp.monster,UNAVAILABLE,0,1.54,12.98
asp.rest,AVAILABLE,0,1.54,26.26
asp.skin,AVAILABLE,0,1.54,12.98
asp.surf,AVAILABLE,1,87.86,27.82
aspen.lol,UNAVAILABLE,0,1.54,26.26
aspen.space,AVAILABLE,1,136.98,546.35
aspen.pics,AVAILABLE,0,1.54,26.26
aspen.quest,AVAILABLE,0,1.54,12.98
aspen.mom,AVAILABLE,0,1.54,26.26
aspen.beauty,UNAVAILABLE,0,1.54,12.98
aspen.beer,UNAVAILABLE,0,1.54,26.26
aspen.best,UNAVAILABLE,1,76.94,76.94
aspen.click,UNAVAILABLE,0,1.54,10.81
aspen.garden,AVAILABLE,1,4367.16,27.82
aspen.hair,AVAILABLE,0,1.54,12.98
aspen.monster,AVAILABLE,0,1.54,12.98
aspen.rest,AVAILABLE,1,1719.89,2456.76
aspen.skin,AVAILABLE,0,1.54,12.98
aspen.surf,AVAILABLE,0,1.54,26.26
aster.lol,UNAVAILABLE,0,1.54,26.26
aster.space,AVAILABLE,1,273.44,1092.18
aster.pics,UNAVAILABLE,0,1.54,26.26
aster.quest,AVAILABLE,0,1.54,12.98
aster.mom,UNAVAILABLE,0,1.54,26.26
aster.beauty,UNAVAILABLE,0,1.54,12.98
aster.beer,AVAILABLE,0,1.54,26.26
aster.best,UNAVAILABLE,0,1.72,15.96
aster.click,AVAILABLE,1,382.61,546.35
aster.garden,UNAVAILABLE,0,1.54,26.26
aster.hair,UNAVAILABLE,0,1.54,12.98
aster.monster,UNAVAILABLE,0,1.54,12.98
aster.rest,UNAVAILABLE,0,1.54,26.26
aster.skin,AVAILABLE,0,1.54,12.98
aster.surf,AVAILABLE,0,1.54,26.26
augur.lol,AVAILABLE,0,1.54,26.26
augur.space,UNAVAILABLE,0,1.96,26.26
augur.pics,AVAILABLE,0,1.54,26.26
augur.quest,AVAILABLE,0,1.54,12.98
augur.mom,AVAILABLE,0,1.54,26.26
augur.beauty,AVAILABLE,0,1.54,12.98
augur.beer,AVAILABLE,0,1.54,26.26
augur.best,AVAILABLE,0,1.72,15.96
augur.click,AVAILABLE,1,76.94,109.69
augur.garden,AVAILABLE,0,1.54,26.26
augur.hair,AVAILABLE,0,1.54,12.98
augur.monster,AVAILABLE,0,1.54,12.98
augur.rest,AVAILABLE,0,1.54,26.26
augur.skin,AVAILABLE,0,1.54,12.98
augur.surf,AVAILABLE,0,1.54,26.26
awl.lol,AVAILABLE,0,1.54,26.26
awl.space,AVAILABLE,1,68.75,273.44
awl.pics,AVAILABLE,0,1.54,26.26
awl.quest,AVAILABLE,0,1.54,12.98
awl.mom,AVAILABLE,0,1.54,26.26
awl.beauty,AVAILABLE,0,1.54,12.98
awl.beer,AVAILABLE,1,44.19,27.82
awl.best,AVAILABLE,0,1.72,15.96
awl.click,AVAILABLE,1,76.94,109.69
awl.garden,AVAILABLE,1,44.19,27.82
awl.hair,AVAILABLE,0,1.54,12.98
awl.monster,AVAILABLE,0,1.54,12.98
awl.rest,AVAILABLE,0,1.54,26.26
awl.skin,AVAILABLE,0,1.54,12.98
awl.surf,AVAILABLE,1,44.19,27.82
axiom.lol,UNAVAILABLE,0,1.54,26.26
axiom.space,UNAVAILABLE,0,1.96,26.26
axiom.pics,AVAILABLE,1,2183.84,2183.84
axiom.quest,AVAILABLE,1,2183.84,2183.84
axiom.mom,AVAILABLE,1,2183.84,2183.84
axiom.beauty,AVAILABLE,1,2183.84,2183.84
axiom.beer,AVAILABLE,0,1.54,26.26
axiom.best,UNAVAILABLE,0,1.72,15.96
axiom.click,AVAILABLE,1,382.61,546.35
axiom.garden,UNAVAILABLE,0,1.54,26.26
axiom.hair,AVAILABLE,1,2183.84,2183.84
axiom.monster,UNAVAILABLE,0,1.54,12.98
axiom.rest,UNAVAILABLE,0,1.54,26.26
axiom.skin,AVAILABLE,1,2183.84,2183.84
axiom.surf,UNAVAILABLE,0,1.54,26.26
bane.lol,UNAVAILABLE,0,1.54,26.26
bane.space,AVAILABLE,1,68.75,273.44
bane.pics,AVAILABLE,0,1.54,26.26
bane.quest,AVAILABLE,0,1.54,12.98
bane.mom,AVAILABLE,0,1.54,26.26
bane.beauty,AVAILABLE,0,1.54,12.98
bane.beer,AVAILABLE,0,1.54,26.26
bane.best,AVAILABLE,0,1.72,15.96
bane.click,AVAILABLE,1,76.94,109.69
bane.garden,AVAILABLE,0,1.54,26.26
bane.hair,AVAILABLE,0,1.54,12.98
bane.monster,AVAILABLE,0,1.54,12.98
bane.rest,AVAILABLE,0,1.54,26.26
bane.skin,AVAILABLE,0,1.54,12.98
bane.surf,AVAILABLE,0,1.54,26.26
barm.lol,AVAILABLE,0,1.54,26.26
barm.space,AVAILABLE,1,68.75,273.44
barm.pics,AVAILABLE,0,1.54,26.26
barm.quest,AVAILABLE,0,1.54,12.98
barm.mom,AVAILABLE,0,1.54,26.26
barm.beauty,AVAILABLE,0,1.54,12.98
barm.beer,AVAILABLE,0,1.54,26.26
barm.best,AVAILABLE,0,1.72,15.96
barm.click,AVAILABLE,1,76.94,109.69
barm.garden,AVAILABLE,0,1.54,26.26
barm.hair,AVAILABLE,0,1.54,12.98
barm.monster,AVAILABLE,0,1.54,12.98
barm.rest,AVAILABLE,0,1.54,26.26
barm.skin,AVAILABLE,0,1.54,12.98
barm.surf,AVAILABLE,0,1.54,26.26
basil.lol,UNAVAILABLE,0,1.54,26.26
basil.space,AVAILABLE,1,273.44,1092.18
basil.pics,AVAILABLE,0,1.54,26.26
basil.quest,UNAVAILABLE,0,1.54,12.98
basil.mom,AVAILABLE,0,1.54,26.26
basil.beauty,AVAILABLE,0,1.54,12.98
basil.beer,AVAILABLE,0,1.54,26.26
basil.best,UNAVAILABLE,0,1.72,15.96
basil.click,UNAVAILABLE,0,1.54,10.81
basil.garden,UNAVAILABLE,1,218.86,27.82
basil.hair,AVAILABLE,0,1.54,12.98
basil.monster,AVAILABLE,0,1.54,12.98
basil.rest,AVAILABLE,1,138.07,197.02
basil.skin,AVAILABLE,0,1.54,12.98
basil.surf,AVAILABLE,0,1.54,26.26
baste.lol,AVAILABLE,0,1.54,26.26
baste.space,AVAILABLE,1,68.75,273.44
baste.pics,AVAILABLE,0,1.54,26.26
baste.quest,AVAILABLE,0,1.54,12.98
baste.mom,AVAILABLE,0,1.54,26.26
baste.beauty,AVAILABLE,0,1.54,12.98
baste.beer,AVAILABLE,0,1.54,26.26
baste.best,AVAILABLE,0,1.72,15.96
baste.click,AVAILABLE,1,76.94,109.69
baste.garden,AVAILABLE,0,1.54,26.26
baste.hair,AVAILABLE,0,1.54,12.98
baste.monster,AVAILABLE,0,1.54,12.98
baste.rest,AVAILABLE,0,1.54,26.26
baste.skin,AVAILABLE,0,1.54,12.98
baste.surf,AVAILABLE,0,1.54,26.26
beech.lol,AVAILABLE,0,1.54,26.26
beech.space,UNAVAILABLE,0,1.96,26.26
beech.pics,AVAILABLE,0,1.54,26.26
beech.quest,AVAILABLE,0,1.54,12.98
beech.mom,AVAILABLE,0,1.54,26.26
beech.beauty,AVAILABLE,0,1.54,12.98
beech.beer,AVAILABLE,0,1.54,26.26
beech.best,AVAILABLE,0,1.72,15.96
beech.click,AVAILABLE,1,76.94,109.69
beech.garden,AVAILABLE,0,1.54,26.26
beech.hair,AVAILABLE,0,1.54,12.98
